"time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipIntensityMax","precipIntensityMaxTime","precipProbability","precipType","temperatureHigh","temperatureHighTime","temperatureLow","temperatureLowTime","apparentTemperatureHigh","apparentTemperatureHighTime","apparentTemperatureLow","apparentTemperatureLowTime","dewPoint","humidity","pressure","windSpeed","windGust","windGustTime","windBearing","cloudCover","uvIndex","uvIndexTime","visibility","ozone","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","country","province","date","precipAccumulation"
1579795200,"Possible light rain in the evening and overnight.","rain",1579820220,1579859100,0.99,0.1349,0.6033,1579849800,0.57,"rain",21.56,1579842060,12.57,1579908540,21.28,1579842060,12.84,1579908540,15.07,0.91,1020.2,0.87,1.97,1579878000,96,0.9,4,1579838940,15.368,256.7,13.89,1579821060,21.56,1579842060,14.44,1579821180,21.28,1579842060,"China","Fujian",2020-01-24,NA
1579881600,"Rain until morning, starting again in the evening.","rain",1579906560,1579945560,0.02,0.1994,2.1224,1579964400,0.83,"rain",16.46,1579927440,9.72,1579996800,16.18,1579927440,9.99,1579996800,12.81,0.95,1019.9,1.23,2.49,1579956600,28,1,4,1579926060,14.695,264.4,11.01,1579964400,16.46,1579927440,11.28,1579964400,16.18,1579927440,"China","Fujian",2020-01-25,NA
1579968000,"Rain until evening.","rain",1579992960,1580032020,0.05,1.9062,4.3845,1579992300,0.99,"rain",10.51,1579993200,2.79,1580080800,10.23,1579993200,2.13,1580083200,9.41,1,1017.7,1.48,4.54,1580044500,341,1,4,1580012160,7.09,271.4,5.4,1580050800,11.48,1579974780,4.24,1580050800,11.2,1579974780,"China","Fujian",2020-01-26,NA
1580054400,"Mostly cloudy throughout the day.","partly-cloudy-day",1580079360,1580118480,0.08,0.0036,0.0096,1580121300,0.11,"rain",7.83,1580101440,2.61,1580167140,7.11,1580102880,2.9,1580166540,2.48,0.84,1019.5,1.28,3.39,1580054400,334,0.66,4,1580098200,16.093,281.3,2.79,1580080800,7.83,1580101440,2.13,1580083320,7.11,1580102880,"China","Fujian",2020-01-27,NA
1580140800,"Overcast throughout the day.","cloudy",1580165700,1580204940,0.11,0.0021,0.0096,1580147700,0.08,"rain",8.8,1580194740,0.82,1580246400,7.91,1580195040,1.09,1580246400,1.46,0.8,1021.4,1.12,2.76,1580208300,343,0.91,4,1580186340,16.093,270.5,2.61,1580167140,8.8,1580194740,2.9,1580166540,7.91,1580195040,"China","Fujian",2020-01-28,NA
1580227200,"Clear throughout the day.","clear-day",1580252100,1580291340,0.14,0.0044,0.0072,1580284800,0.1,"rain",9.18,1580274720,-1.11,1580338440,7.89,1580274600,-0.84,1580338440,-0.17,0.75,1023.7,1.38,4.38,1580283720,334,0.14,6,1580271900,16.093,254.2,0.82,1580246400,9.18,1580274720,1.09,1580246400,7.89,1580274600,"China","Fujian",2020-01-29,NA
1580313600,"Clear throughout the day.","clear-day",1580338500,1580377800,0.17,0.0026,0.0064,1580365500,0.06,"rain",9.68,1580360640,-1.63,1580424120,8.25,1580360580,-1.36,1580424120,-1.82,0.7,1024.3,1.3,5.54,1580364780,335,0,7,1580358060,16.093,245.1,-1.11,1580338440,9.68,1580360640,-0.84,1580338440,8.25,1580360580,"China","Fujian",2020-01-30,NA
1580400000,"Clear throughout the day.","clear-day",1580424840,1580464260,0.2,0.0022,0.0062,1580418000,0.02,"rain",13.13,1580446920,0.09,1580507520,12.85,1580446920,0.36,1580507520,-1.84,0.65,1024.6,0.68,1.64,1580461980,12,0,7,1580444460,16.093,243.5,-1.63,1580424120,13.13,1580446920,-1.36,1580424120,12.85,1580446920,"China","Fujian",2020-01-31,NA
1580486400,"Clear throughout the day.","clear-day",1580511240,1580550720,0.23,0.0027,0.0087,1580505900,0.06,"rain",14.67,1580533500,2.25,1580594160,14.39,1580533500,2.52,1580594160,-0.03,0.64,1024.7,0.66,1.45,1580547600,107,0.05,7,1580530260,16.093,237.6,0.09,1580507520,14.67,1580533500,0.36,1580507520,14.39,1580533500,"China","Fujian",2020-02-01,NA
1580572800,"Mostly cloudy throughout the day.","partly-cloudy-day",1580597580,1580637120,0.26,0.0181,0.109,1580633940,0.15,"rain",13.22,1580622720,5.26,1580683200,12.94,1580622720,5.53,1580683200,4.67,0.85,1024.9,0.62,1.92,1580626500,94,0.58,6,1580616540,16.093,239.2,2.25,1580594160,13.22,1580622720,2.52,1580594160,12.94,1580622720,"China","Fujian",2020-02-02,NA
1580659200,"Light rain throughout the day.","rain",1580683980,1580723580,0.3,0.37,1.2136,1580705580,0.95,"rain",9.02,1580716320,6.91,1580771880,8.74,1580716320,7.18,1580771880,6.97,1,1024.8,0.56,1.74,1580737860,62,1,5,1580703780,14.757,240.3,5.26,1580683200,9.02,1580716320,5.53,1580683200,8.74,1580716320,"China","Fujian",2020-02-03,NA
1580745600,"Light rain in the morning and afternoon.","rain",1580770320,1580810040,0.33,0.1842,0.5328,1580784960,0.88,"rain",10.71,1580802720,7.86,1580859420,10.43,1580802720,8.13,1580859420,8.4,1,1023.6,0.51,1.54,1580827860,59,0.99,5,1580790120,15.947,238.8,6.91,1580771880,10.71,1580802720,7.18,1580771880,10.43,1580802720,"China","Fujian",2020-02-04,NA
1580832000,"Overcast throughout the day.","cloudy",1580856720,1580896500,0.36,0.0075,0.0172,1580849160,0.22,"rain",12.49,1580879340,5.1,1580939220,12.21,1580879340,4.68,1580931360,8.38,0.92,1023.9,0.98,3.91,1580914800,75,0.95,5,1580876400,14.016,244.6,7.7,1580914800,12.49,1580879340,6.99,1580914800,12.21,1580879340,"China","Fujian",2020-02-05,NA
